,,,,
관리번호,공원명,소재지지번주소,위도,경도
41550-00026,39호공원,경기도 안성시 가사동 178,37.0120289409,127.2910685109
41550-00027,40호공원(우남공원),경기도 안성시 석정동 345,37.0104406839,127.2604657985
41550-00028,안성체육공원,경기도 안성시 중리동 440,36.9824919619,127.2669686817
41550-00029,퇴미1 공원(29호공원),경기도 안성시 공도읍 만정리 244-3,36.9987863918,127.1786380349
41550-00030,퇴미2 공원(30호공원),경기도 안성시 공도읍 만정리 879,36.9990189927,127.1788563002
41550-00031,장원산단2 소공원,경기도 안성시 죽산면 장원리 1387,37.0676630562,127.4292105827
41550-00032,1호공원,경기도 안성시 미양면 구수리 314,36.9734036030,127.2645327771
41550-00033,31호공원,경기도 안성시 공도읍 승두리 65-3,36.99816241,127.1686909
41550-00034,개정산단,경기도 안성시 미양면 개정리 769,36.9576912263,127.1985859151
41550-00035,4산단 근린공원1,경기도 안성시 미양면 양변리 473,36.9534376117,127.2499766528
41550-00036,4산단 근린공원2,"경기도 안성시 서운면 양촌리 487,488",36.9515695937,127.2567253355
41550-00037,원곡물류단지 근린공원,경기도 안성시 원곡면 칠곡리 921,37.0466657187,127.1630414087
41550-00038,방초산단 소공원,경기도 안성시 일죽면 방초리 1156,37.1409921686,127.4336780392
41550-00039,월정산단 소공원,경기도 안성시 일죽면 월정리 1840,37.0858659152,127.4582253210
50110-00187,고내공원,제주특별자치도 제주시 애월읍 고내리 1356,33.4629002535,126.3336050284
50110-00188,1-121호공원,제주특별자치도 제주시 화북1동 1424,33.5226070251,126.5703451239
50110-00189,1-122호공원,제주특별자치도 제주시 화북1동 1888,33.5210550323,126.5698748728
50110-00190,1-123호공원,제주특별자치도 제주시 화북1동 1394-2,33.5215202083,126.5718301660
50110-00163,1-111호공원,제주특별자치도 제주시 아라1동 6099-9,33.4755176219,126.5422752743
50110-00164,1-112호공원,제주특별자치도 제주시 아라1동 6089,33.4731833241,126.5441571322
50110-00165,1-113호공원,제주특별자치도 제주시 아라1동 6071,33.4717869880,126.5428999659
50110-00166,1-114호공원,제주특별자치도 제주시 아라1동 6058-6,33.4711166804,126.5411518424
50110-00167,1-115호공원,제주특별자치도 제주시 아라1동 6077,33.4696515584,126.5447971698
50110-00168,1-116호공원,제주특별자치도 제주시 아라1동 6108-3,33.4760848438,126.5464690522
50110-00169,1-117호공원,제주특별자치도 제주시 아라1동 6111-1,33.4765561227,126.5491165352
50110-00170,1-118호공원,제주특별자치도 제주시 아라1동 6131-3,33.4726811835,126.5485590351
50110-00171,1-119호공원,제주특별자치도 제주시 아라1동 6141-9,33.4708596000,126.5468916000
50110-00172,1-120호공원,제주특별자치도 제주시 아라1동 6159-1,33.4718422081,126.5512420236
50110-00173,1-121호공원,제주특별자치도 제주시 노형동 3790-1,33.4832210361,126.4783877806
50110-00174,1-122호공원,제주특별자치도 제주시 노형동 3799,33.4810330467,126.4769808188
50110-00175,하귀1호공원,제주특별자치도 제주시 애월읍 하귀1리 148-1,33.4863889342,126.4188806071
50110-00176,하귀2호공원,제주특별자치도 제주시 애월읍 하귀1리 234-3,33.4816843317,126.4135686731
50110-00149,1-97호공원,제주특별자치도 제주시 도남동 731-6,33.4885639238,126.5218700939
50110-00150,1-98호공원,제주특별자치도 제주시 도남동 755-2,33.4886356245,126.5261107549
50110-00151,1-99호공원,제주특별자치도 제주시 이도2동 2041-4,33.4874652060,126.5338751962
50110-00152,1-100호공원,제주특별자치도 제주시 이도2동 2033,33.4896155023,126.5339787718
41370-00010,가수어린이공원,경기도 오산시 가수동 113-2,37.145197,127.051045
50110-00124,1-69호공원,제주특별자치도 제주시 외도1동 492-11,33.4872925649,126.4276314543
50110-00125,1-70호공원,제주특별자치도 제주시 외도1동 634-6,33.4858045947,126.4300366165
50110-00126,1-71호공원,제주특별자치도 제주시 외도1동 438-3,33.4914803283,126.4278654749
50110-00127,1-72호공원,제주특별자치도 제주시 외도1동 442-5,33.4905509630,126.4300847678
50110-00128,1-73호공원,제주특별자치도 제주시 외도1동 455-1,33.4900677351,126.4276024984
50110-00129,1-74호공원,제주특별자치도 제주시 외도1동 452-1,33.4911893364,126.4331972268
50110-00130,1-75호공원,제주특별자치도 제주시 외도1동 493-3,33.4880747439,126.4283708938
50110-00131,1-76호공원,제주특별자치도 제주시 외도1동 523-3,33.4884839642,126.4321909743
50110-00132,1-77호공원,제주특별자치도 제주시 외도1동 453-2,33.4909679054,126.4339377968
50110-00133,1-78호공원,제주특별자치도 제주시 외도1동 560-3,33.4857132719,126.4319515453
50110-00134,1-79호공원,제주특별자치도 제주시 화북1동 1957,33.5214783622,126.5647685438
50110-00177,세화어린이공원,제주특별자치도 제주시 구좌읍 세화리 3642-1,33.5262562796,126.8547973138
50110-00178,용암해수제2공원,제주특별자치도 제주시 구좌읍 한동리 4849-17,33.5410199466,126.8152457395
50110-00179,함덕1호어린이공원,제주특별자치도 제주시 조천읍 함덕리 4154-3,33.5394595539,126.6755229183
50110-00180,함덕2호어린이공원,제주특별자치도 제주시 조천읍 함덕리 4145-1,33.5392461366,126.6736973874
50110-00181,샘물공원,제주특별자치도 제주시 조천읍 함덕리 272-76,33.5404417961,126.6754920586
50110-00182,관덕공원,제주특별자치도 제주시 삼도2동 43-2,33.5140017100,126.5218039000
50110-00183,신비의도로,제주특별자치도 제주시 노형동 291,33.4492903215,126.4878615719
50110-00184,산짓물공원,제주특별자치도 제주시 건입동 1343,33.5156057970,126.5285425290
50110-00185,수월봉공원,제주특별자치도 제주시 한경면 고산리 3758-1,33.2941423870,126.1636957822
50110-00186,용담체육공원,제주특별자치도 제주시 용담3동 1089,33.5182371200,126.4994427000
41550-00006,17호공원,경기도 안성시 당왕동 534-5,37.014286,127.2575727
41550-00007,계륵공원,경기도 안성시 미양면 계륵리 267,36.9806662584,127.2559464117
41550-00008,미양공원,경기도 안성시 미양면 계륵리 271-4,36.9784132532,127.2612383877
41550-00009,23호공원,경기도 안성시 대덕면 내리 676-1,37.0035515806,127.2259550977
41550-00010,24호공원,경기도 안성시 대덕면 내리 696,37.0009388470,127.2222775
41550-00011,25호공원,경기도 안성시 대덕면 내리 707-3,36.999218,127.223336
41550-00012,19호공원,경기도 안성시 당왕동 535-3,37.0159011084,127.2617952
41550-00013,퍼시스 소공원,경기도 안성시 공도읍 만정리 703,37.0045988914,127.1787901295
41550-00014,원곡산단 소공원,경기도 안성시 원곡면 내가천리 283,37.04310556,127.119578
41550-00015,2호어린이공원,경기도 안성시 공도읍 승두리 896,36.9964368790,127.1694727486
41550-00016,9호어린이공원,경기도 안성시 공도읍 용두리 755-13,37.0016517506,127.1689647
41550-00017,알미산공원,경기도 안성시 옥산동 365,37.0042189,127.250314
41550-00018,21호어린이공원,경기도 안성시 공도읍 진사리 20-2,36.9925287,127.1385674
41550-00019,진사4호소공원,경기도 안성시 공도읍 진사리 산30-9,36.99365395,127.1428157671
41550-00020,신능공원,경기도 안성시 서운면 신능리 223-4,36.9727622232,127.2672181184
41550-00021,안성맞춤가족공원(17호근린공원),경기도 안성시 공도읍 마정리 112-52,37.0141773942,127.2031143375
41550-00022,16호어린이공원,경기도 안성시 공도읍 마정리 223-156,37.0158103814,127.2060087985
41480-00022,통일동산(759),경기도 파주시 탄현면 법흥리 1652-470,37.7870890043,126.7016278792
41480-00023,당동공원,경기도 파주시 문산읍 당동리 884,37.8676338208,126.7785382058
41480-00024,당동3근린공원,경기도 파주시 문산읍 당동리 907,37.8632005818,126.7808004168
41480-00025,당동산업단지4호 근린공원,경기도 파주시 문산읍 당동리 928,37.8614747565,126.7747549078
41480-00026,북부근린공원,경기도 파주시 문산읍 당동리 936,37.8682247170,126.7876555203
41480-00027,선유산업단지1호 근린공원,경기도 파주시 문산읍 선유리 1374,37.8616658566,126.8142849141
41480-00028,선유산업단지2호 근린공원,경기도 파주시 문산읍 선유리 1379,37.8585218547,126.8066116854
41480-00029,월롱일반산업단지 근린공원,경기도 파주시 문산읍 내포리 1641,37.8385327890,126.7809770427
41480-00030,통일공원,경기도 파주시 파주읍 봉서리 358-4,37.8490943987,126.7898894421
41480-00031,마장근린공원,경기도 파주시 광탄면 기산리 산 150-1,37.7730652874,126.9277757787
41480-00032,가재울공원 1호,경기도 파주시 목동동 820,37.7306885635,126.7420451674
41480-00033,가람공원 2호,경기도 파주시 와동동 1326,37.7304609540,126.7579084646
41480-00034,가재울공원 3호,경기도 파주시 목동동 993,37.7267442694,126.7412488492
41480-00035,해솔공원 4호,경기도 파주시 목동동 670,37.7256890019,126.7475370784
41480-00036,해솔공원 5호,경기도 파주시 목동동 680,37.7226287642,126.7459061833
41480-00037,산내공원 6호,경기도 파주시 목동동 1091,37.7199446146,126.7394132482
41480-00038,한빛공원 7호,경기도 파주시 야당동 1001,37.7130296022,126.7483957237
41480-00039,한울공원 8호,경기도 파주시 동패동 1884,37.7133868539,126.7369150467
41480-00040,한솔공원 9호,경기도 파주시 목동동 1008,37.7252480702,126.7372276493
41117-00046,해오름,경기도 수원시 영통구 영통동 948-5,37.26491233,127.0813304
41117-00047,달래,경기도 수원시 영통구 영통동 1053-3,37.26663771,127.0830516
41117-00048,미로,경기도 수원시 영통구 영통동 955-2,37.26185806,127.0781262
41550-00001,돌우물공원,경기도 안성시 석정동 44-1,37.00910073,127.2650865
41550-00002,봉남공원,경기도 안성시 봉남동 4-1,37.0069670338,127.2762826424
41550-00003,죽산연못공원,경기도 안성시 죽산면 죽산리 482-1,37.0767976723,127.4243761718
41550-00004,금산공원(솔밭공원),경기도 안성시 금산동 189,37.01524123,127.2685391
41550-00005,16호공원,경기도 안성시 석정동 331,37.01372655,127.2608482
41480-00020,통일동산 달맞이동산공원,경기도 파주시 탄현면 법흥리 1652-141,37.7897124559,126.6974760820
41480-00021,통일동산 노을동산,경기도 파주시 탄현면 법흥리 1652-585,37.7901765323,126.7024019242
41117-00037,옹달샘,경기도 수원시 영통구 매탄동 209-25,37.26557551,127.0470885
41117-00038,산샘,경기도 수원시 영통구 매탄동 205-32,37.26714647,127.0482123
41117-00039,마루터기,경기도 수원시 영통구 매탄동 861,37.26385648,127.0487029
41117-00040,먼내,경기도 수원시 영통구 원천동 463-1,37.26957867,127.0576438
41117-00041,우정,경기도 수원시 영통구 매탄동 1201,37.27156282,127.0538907
41117-00042,매미,경기도 수원시 영통구 매탄동 1217-6,37.26651885,127.0517346
41117-00043,효원,경기도 수원시 영통구 매탄동 1354,37.26223292,127.0415354
41117-00044,교통,경기도 수원시 영통구 매탄동 1231-2,37.26630262,127.0574025
41117-00045,솔빛,경기도 수원시 영통구 원천동 549-3,37.26713882,127.058579
41271-00081,산우물,경기도 안산시 상록구 본오동 940,37.288175,126.858513
41271-00082,서암,경기도 안산시 상록구 사동 1188-5,37.302132,126.848988
41271-00083,푸른,경기도 안산시 상록구 사동 1202,37.302526,126.851509
41271-00084,항가울,경기도 안산시 상록구 사동 1379-5,37.286717,126.845547
41271-00085,수리실,경기도 안산시 상록구 일동 111-4,37.31503014,126.870318
41271-00086,구룡,경기도 안산시 상록구 일동 125,37.312143,126.869063
41271-00087,식물원,경기도 안산시 상록구 일동 578,37.315236,126.8636064
41271-00088,호동,경기도 안산시 상록구 일동 594,37.314747,126.865806
41271-00089,사동7호공원,경기도 안산시 상록구 사동 1510-12,37.296556,126.816798
41271-00090,사동8호공원,경기도 안산시 상록구 사동 1512-2,37.29409072,126.8225099738
41271-00091,수암소공원,경기도 안산시 상록구 수암동 460-11,37.365618,126.878904
41271-00092,팔곡산공원,경기도 안산시 상록구 팔곡이동 66-15,37.297387,126.878433
41271-00093,팔곡,경기도 안산시 상록구 팔곡일동 681-1,37.297578,126.887507
41271-00094,원당,경기도 안산시 상록구 수암동 485,37.362813,126.881263
44810-00055,내포1(홍예공원),충청남도 예산군 삽교읍 목리 764,36.65875766,126.6648833
44810-00024,내포5(소금쟁이공원),충청남도 예산군 삽교읍 목리 880,36.66622729,126.6777794
44810-00009,내포2(목리천공원),충청남도 예산군 삽교읍 목리 923,36.66128683,126.6735692
44810-00058,신도시20(주제공원),충청남도 예산군 삽교읍 목리 산52-1,36.670585,126.673206
44810-00039,삽교10(10호소공원),충청남도 예산군 삽교읍 신가리 20-24,36.68530932,126.7493395
44810-00038,삽교7(7호소공원),충청남도 예산군 삽교읍 신가리 24-189,36.684392,126.7443645
44810-00006,삽교9(9호근린공원),충청남도 예산군 삽교읍 신가리 266-46,36.68546479,126.7382239
44810-00020,내포1(무당벌레공원),충청남도 예산군 삽교읍 신리 281-7,36.402039,126.403052
44810-00021,내포2(자연소리공원),충청남도 예산군 삽교읍 신리 294-24,36.401941,126.404767
44810-00022,내포3(여치공원),충청남도 예산군 삽교읍 신리 298-2,36.401698,126.410107
44810-00040,삽교11(11호소공원),충청남도 예산군 삽교읍 월산리 172,36.67436347,126.7611888
44810-00043,삽교15(15호소공원),충청남도 예산군 삽교읍 효림리 481,36.67725156,126.7513703
44810-00019,삽교13(13호어린이공원),충청남도 예산군 삽교읍 효림리 535,36.671704,126.751444
44810-00042,삽교14(14호소공원),충청남도 예산군 삽교읍 효림리 561,36.67902736,126.7521543
44810-00051,예산1(동학농민혁명기념공원),충청남도 예산군 예산읍 관작리 288-9,36.71573482,126.8423874
44810-00018,예산16(16호어린이공원),충청남도 예산군 예산읍 대회리 227,36.674645,126.848025
44810-00005,예산13(대회공원),충청남도 예산군 예산읍 대회리 294-4,36.674166,126.856149
44810-00017,예산14(14호어린이공원),충청남도 예산군 예산읍 발연리 253-2,36.696807,126.8326325
44810-00003,예산4(예산공원),충청남도 예산군 예산읍 산성리 122,36.687254,126.838007
44810-00052,예산2(산성공원),충청남도 예산군 예산읍 산성리 275-56,36.69222413,126.8230439
44810-00016,예산11(11호어린이공원),충청남도 예산군 예산읍 산성리 662,36.694237,126.835178
44810-00032,예산10(10호소공원),충청남도 예산군 예산읍 산성리 697-1,36.691798,126.829513
44810-00015,예산9(9호어린이공원),충청남도 예산군 예산읍 산성리 750,36.691933,126.834646
44810-00012,예산5(5호어린이공원),충청남도 예산군 예산읍 산성리 858,36.690917,126.832637
44810-00013,예산6(나래공원),충청남도 예산군 예산읍 산성리 95-2,36.688031,126.841471
44810-00033,예산17(17호소공원),충청남도 예산군 예산읍 예산리 770,36.68273504,126.8458339
44133-00065,방아다리공원(쌍용4),충청남도 천안시 서북구 쌍용동 1563,36.79288169,127.118357
26710-00003,근린공원 2호,부산광역시 기장군 정관읍 달산리 1096번지,35.316990,129.193200
36110-00153,별바라기어린이공원,세종특별자치시 대평동 703,36.47267514,127.2817591
36110-00154,솜사탕어린이공원,세종특별자치시 보람동 728,36.47799548,127.2833405
36110-00155,바람개비어린이공원,세종특별자치시 보람동 736,36.47637836,127.2858006
36110-00156,호드기어린이공원,세종특별자치시 보람동 771,36.47883522,127.2939012
36110-00157,해님어린이공원,세종특별자치시 소담동 538,36.486825,127.2988626
36110-00158,늘꿈어린이공원,세종특별자치시 소담동 522,36.48833437,127.3011043
36110-00159,슬기샘어린이공원,세종특별자치시 소담동 532,36.48786832,127.2996701
36110-00160,해맑은어린이공원,세종특별자치시 반곡동 859,36.49894564,127.3148923
36110-00161,부강꿈뜰공원,세종특별자치시 부강면 부강리 102-3,36.5282015,127.3708739
36110-00162,부강새말어린이공원,세종특별자치시 부강면 부강리 412-9,36.53043921,127.3640419
36110-00163,아이뜰어린이공원,세종특별자치시 나성동 852,36.48940094,127.2654863
36110-00164,별가득어린이공원,세종특별자치시 반곡동 1043,36.48186899,127.3129033
36110-00165,금지어린이공원,세종특별자치시 전의면 읍내리 130-6,36.6821067,127.1972104
36110-00166,포근뜰근린공원,세종특별자치시 보람동 54-2전 일원(보람동 807),36.478586,127.299762
36110-00167,소담뜰근린공원,"세종특별자치시 소담동 9-59전, 9-98임 일원(소담동 624, 625)",36.479892,127.302512
36110-00168,새샘뜰근린공원,"세종특별자치시 보람동 54-2전 일원(소담동 626, 627)",36.478577,127.299773
36110-00169,능실수변공원,"세종특별자치시 집현동 883-152답 일원(집현동 1200, 1259, 1359)",36.486306,127.322261
36110-00170,솔솔수변공원,"세종특별자치시 집현동 산186임 일원(집현동 1175, 1188, 1198)",36.486761,127.323885
36110-00171,시울문화공원,세종특별자치시 집현동 산122임 일원(집현동 1182),36.495227,127.324906
36110-00172,새나루뜰근린공원,"세종특별자치시 집현동 883-40답 일원(집현동 1186, 1193, 1197)",36.491123,127.323625
36110-00173,문4-16,세종특별자치시 집현동 883-161답 일원(집현동 1274),36.484966,127.320916
36110-00174,문4-17,세종특별자치시 집현동 883-161답 일원(집현동 1273),36.484966,127.320916
46170-00033,공원(소1혁신),전라남도 나주시 빛가람동 350,35.01959462,126.782836
46170-00034,공원(소2혁신),전라남도 나주시 빛가람동 514,35.011705,126.7766684
46170-00035,공원(소3혁신),전라남도 나주시 빛가람동 330-1,35.017349,126.793892
46170-00036,공원(소4혁신),전라남도 나주시 빛가람동 221,35.023511,126.797143
46170-00037,작수공원,전라남도 나주시 남평읍 평산리 975,35.049851,126.8314156
46170-00038,앞들공원,전라남도 나주시 남평읍 평산리 524-5,35.051312,126.8329631
46170-00039,노화장공원,전라남도 나주시 남평읍 평산리 762-3,35.061785,126.830457
46170-00040,어전공원,전라남도 나주시 남평읍 평산리 62-1,35.058482,126.839351
46170-00041,마당거리공원,전라남도 나주시 남평읍 수원리 716-4,35.05052324,126.8484292
46170-00042,상노동공원,전라남도 나주시 남평읍 노동리 286,35.066752,126.891913
46170-00043,하노동공원,전라남도 나주시 남평읍 수원리 255-2,35.051045,126.848806
46170-00044,금동공원,전라남도 나주시 노안면 양천리 255-13,35.108683,126.690142
46170-00045,이룡공원,전라남도 나주시 노안면 안산리 850-1,35.09908492,126.6970189
46170-00046,대안공원,전라남도 나주시 노안면 안산리 1411-11,35.093632,126.705329
46170-00047,평산공원,전라남도 나주시 노안면 안산리 599-2,35.088941,126.700064
46170-00048,월평공원,전라남도 나주시 노안면 안산리 214-1,35.08988161,126.715631
46170-00049,엄동공원,전라남도 나주시 노안면 안산리 214-1,35.08988161,126.715631
46170-00050,금곡공원,전라남도 나주시 노안면 용산리 562-56,35.078905,126.705541
46170-00051,감정공원,전라남도 나주시 노안면 유곡리 58,35.100638,126.7475955
46170-00052,가곡공원,전라남도 나주시 노안면 유곡리 516-5,35.08830639,126.734431
46170-00053,유림공원,전라남도 나주시 노안면 유곡리 195,35.08834422,126.741318
46170-00054,현애원공원,전라남도 나주시 노안면 유곡리 산33,35.10344136,126.7402263
46170-00055,신암공원,전라남도 나주시 노안면 금동리 468,35.09277613,126.724227
46170-00056,대암공원,전라남도 나주시 노안면 도산리 647,35.085941,126.751618
46170-00057,도천공원,전라남도 나주시 노안면 도산리 383,35.086528,126.756105
46170-00058,공원,전라남도 나주시 산포면 등정리 419-3,35.0480030873,126.8167932016
46170-00059,신도공원,전라남도 나주시 산포면 신도리 1310,34.99863305,126.8011431
44270-00071,공원:501(신평:01 신평공원),충청남도 당진시 신평면 금천리 산13-1,36.8856091,126.7821793
44270-00072,공원:502(신평:03 거산공원),충청남도 당진시 신평면 거산리 62-1,36.87852686,126.758081
44270-00073,공원:503(신평:05 정우공원),충청남도 당진시 신평면 금천리 880-10,36.884801,126.7691922
44270-00074,공원:504(신평:06 공간공원),충청남도 당진시 신평면 거산리 877,36.8824741,126.7591698
44270-00076,공원:601(송악:01 기지시공원),충청남도 당진시 송악읍 기지시리 153-46,36.90227998,126.6958419
44270-00077,공원:602(송악:제1호공원),충청남도 당진시 송악읍 기지시리 502,36.90023918,126.6899896
44270-00078,공원:603(송악:제2호공원),충청남도 당진시 송악읍 기지시리 509,36.90088789,126.6933012
44270-00079,공원:604(송악:제3호공원),충청남도 당진시 송악읍 기지시리 513,36.89926327,126.6968508
44270-00080,공원:605(송악:제4호공원(송악지구),충청남도 당진시 송악읍 기지시리 493,36.90070367,126.6894244
44270-00081,공원:606(송악:07 어린이공원),충청남도 당진시 송악읍 기지시리 457,36.9030855,126.6948116
44270-00082,공원:607(송악:08 소공원),충청남도 당진시 송악읍 반촌리 989,36.9046866,126.6987127
44270-00083,공원:608(송악:09 소공원),충청남도 당진시 송악읍 반촌리 988,36.9041786,126.6950519
44270-00084,공원:609(송악:줄다리기공원),충청남도 당진시 송악읍 기지시리 347,36.90542724,126.6888263
44270-00085,공원:701(중흥:1 공원),충청남도 당진시 송악읍 중흥리 81-1,36.92976402,126.749989
44270-00089,공원:803(한진리지구 10),충청남도 당진시 송악읍 한진리 377-7,36.96925398,126.7793314
44270-00090,공원:804(한진리지구 11),충청남도 당진시 송악읍 한진리 374,36.9693119019,126.7806358205
44270-00091,공원:805(한진리지구 12),충청남도 당진시 송악읍 한진리 374,36.9693119019,126.7806358205
44270-00092,공원:806(한진리지구 14),충청남도 당진시 송악읍 한진리85-1,36.97108845,126.7792587
44270-00098,공원:812(덕마리지구 13),충청남도 당진시 정미면 덕마리343-9,36.848864,126.5986445
44270-00099,공원:813(삽교호관광지:2),충청남도 당진시 신평면 운정리 214-5,36.89182902,126.8226069
44270-00100,공원:814(매산지구:행담2공원),충청남도 당진시 신평면 매산리 516-40,36.9409256,126.8095297
44270-00101,공원:815(남산지구 소공원),충청남도 당진시 신평면 남산리 3,36.876972,126.779649
44270-00102,공원:816(남산지구 어린이공원),충청남도 당진시 신평면 남산리 산86-7,36.87328796,126.780432
44270-00103,공원:817(남산지구 어린이공원),충청남도 당진시 신평면 신흥리 446-87,36.87772468,126.7842678
44270-00104,공원:818(용두리지구),충청남도 당진시 고대면 용두리 산20-1,36.92597838,126.5996849
44270-00105,공원:819(용두리지구),충청남도 당진시 고대면 용두리 668-3,36.925591,126.597317
44270-00106,공원:820(용두리지구),충청남도 당진시 고대면 용두리 586-1,36.928862,126.601746
43112-00019,원마루공원,충청북도 청주시 서원구 분평동 1363,36.361406,127.294504
44270-00107,공원:821(용두리지구),충청남도 당진시 고대면 용두리 산13-6,36.926969,126.6037776
44270-00108,공원:822(용두리지구),충청남도 당진시 고대면 용두리 506,36.925068,126.6050354
44270-00109,공원:823(신리성지 7),충청남도 당진시 합덕읍 신리 70-8,36.762616,126.7711039
44270-00110,공원:824(솔뫼성지),충청남도 당진시 우강면 송산리 147,36.81906765,126.7845921
44270-00111,공원:825(통정리지구 1),충청남도 당진시 석문면 통정리 325-4,36.97770187,126.5939414
44270-00112,공원:826(통정리지구),충청남도 당진시 석문면 통정리 산107-2,36.98446777,126.5883287
44270-00113,공원:827(통정리지구),충청남도 당진시 석문면 통정리 401-2,36.98317988,126.5910217
44270-00114,공원:828(통정리지구),충청남도 당진시 석문면 통정리 산 172-8,36.980741,126.593076
44270-00115,공원:829(통정리지구),충청남도 당진시 석문면 통정리 1160,36.98244558,126.5870909
44270-00116,공원:830(통정리지구),충청남도 당진시 석문면 통정리 388-17,36.979802,126.591192
44270-00117,공원:831(창의사 역사공원),충청남도 당진시 대호지면 조금리 산43-1,36.90356144,126.5128776
44270-00118,공원:당진1철강 산업단지:공1,충청남도 당진시 송악읍 고대리 167-120,36.98308523,126.7391484
44270-00119,공원:석문국가산업단지:1(도량개들어린이공원),충청남도 당진시 석문면 통정리 1838,36.97685481,126.5895307
44270-00120,공원:석문국가산업단지:1(통정공원),충청남도 당진시 석문면 통정리 1347,36.99731253,126.5911586
44270-00121,공원:석문국가산업단지:2(석문공원),충청남도 당진시 석문면 통정리 1505,37.00197892,126.5942953
44270-00122,공원:석문국가산업단지:3(달맞이공원),충청남도 당진시 석문면 장고항리 1208,37.02093457,126.5807905
44270-00123,공원:석문국가산업단지:4(해맞이공원),충청남도 당진시 석문면 장고항리 1430,37.02345327,126.5795684
44270-00124,공원:석문국가산업단지:5(솔숲공원),충청남도 당진시 석문면 삼봉리 2240,37.0112986,126.5747634
44270-00125,공원:석문국가산업단지:6(삼봉공원),충청남도 당진시 석문면 삼봉리 2151,37.01115708,126.5612936
44270-00126,공원:석문국가산업단지:7(진골공원),충청남도 당진시 고대면 성산리 1630,36.9766045,126.5813581
44270-00127,공원:석문국가산업단지:8(옛토성공원),충청남도 당진시 석문면 통정리 2029,36.97391805,126.5906887
44270-00129,공원:송산2 일반산업단지:1(미래공원),충청남도 당진시 송산면 유곡리 산 1-2,36.965951,126.6879165
44270-00130,공원:송산2 일반산업단지:1(파란공원),충청남도 당진시 송산면 동곡리 165-39,36.97414846,126.7022202
44270-00131,공원:송산2 일반산업단지:10,충청남도 당진시 송산면 유곡리 410-41,36.958969,126.692285
44270-00132,공원:송산2 일반산업단지:11,충청남도 당진시 송산면 유곡리 1444,36.959509,126.693025
43112-00018,안뜸공원,충청북도 청주시 서원구 분평동 1251,36.60919407,127.4894403
43112-00072,수변공원1,충청북도 청주시 서원구 사직동 205-16,36.64271016,127.4820573
11680-00094,한마음공원,서울특별시 강남구 개포동 12-3,37.49642631,127.0755359
11680-00095,일원장미공원,서울특별시 강남구 일원동 732-4,37.480681,127.0808231
11680-00096,일원개나리공원,서울특별시 강남구 일원동 730-3,37.48300519,127.0763956
11680-00097,일원느티나무공원,서울특별시 강남구 일원동 730-2,37.483047,127.0774123
11680-00098,일원소나무공원,서울특별시 강남구 일원동 718-1,37.484061,127.0817812
11680-00099,일원상록수공원,서울특별시 강남구 일원동 734-1,37.482102,127.0822265
11680-00100,일원비둘기공원,서울특별시 강남구 일원동 735-1,37.48327765,127.0860025
11680-00101,일원진달래공원,서울특별시 강남구 일원동 716-1,37.484753,127.0847344
11680-00102,일원새싹공원,서울특별시 강남구 수서동 746-1,37.484772,127.0890958
11680-00103,수서까치공원,서울특별시 강남구 수서동 736-1,37.48713637,127.0979512
11680-00104,수서은행나무공원,서울특별시 강남구 수서동 707-1,37.49213676,127.0997523
11680-00105,수서목련공원,서울특별시 강남구 수서동 712-1,37.49062982,127.1036989
11680-00106,수서개나리공원,서울특별시 강남구 수서동 723-1,37.487518,127.1054203
11680-00107,아래반고개공원,서울특별시 강남구 세곡동 129-13,37.463874,127.1071102
11680-00108,윗반고개공원,서울특별시 강남구 세곡동 99-6,37.46569942,127.109147
11680-00109,은곡마을공원,서울특별시 강남구 세곡동 369-3,37.46801863,127.1004611
11680-00110,쟁골공원,서울특별시 강남구 자곡동 233-2,37.48190388,127.1020753
11680-00111,못골공원,서울특별시 강남구 자곡동 447-23,37.473573,127.100181
11680-00112,윗방죽마을공원,서울특별시 강남구 율현동 308-29,37.470276,127.104681
11680-00113,아래방죽마을공원,서울특별시 강남구 율현동 194-1,37.473276,127.1082321
11680-00114,충현공원,서울특별시 강남구 역삼동 666-2,37.50467201,127.0365347
11680-00115,세곡천공원,서울특별시 강남구 세곡동 522-1,37.46321345,127.1012799
11680-00116,대왕공원,서울특별시 강남구 세곡동 526-2,37.4624778,127.1049341
11680-00117,세천근린공원,서울특별시 강남구 세곡동 603,37.46652497,127.0949058
11680-00066,신사개나리공원,서울특별시 강남구 신사동 609-2,37.52567303,127.029443
11680-00067,압구정목련공원,서울특별시 강남구 압구정동 466,37.53268534,127.0322088
11680-00068,압구정은행나무공원,서울특별시 강남구 압구정동 459,37.53072221,127.0314438
11680-00069,삼성목련공원,서울특별시 강남구 삼성동 55-1,37.518515,127.0538884
11680-00070,삼성까치공원,서울특별시 강남구 삼성동 85,37.51841744,127.0605431
11680-00071,청담은행나무공원,서울특별시 강남구 청담동 94-4,37.525154,127.0442417
11680-00072,청담목련공원,서울특별시 강남구 청담동 51,37.52300518,127.0498445
11680-00073,도곡까치공원,서울특별시 강남구 도곡동 455,37.483326,127.0451093
11680-00074,도곡목련공원,서울특별시 강남구 도곡동 415-3,37.484915,127.0443053
11680-00075,역삼장미공원,서울특별시 강남구 역삼동 780-25,37.495327,127.0447331
11680-00076,역삼까치공원,서울특별시 강남구 역삼동 824-10,37.4972618,127.0307401
